MetroShort,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level
"Abilene, TX",-2.9562160434643654,-5.1421271159374005,-4.196779845935134,-4.196779845935134,-2.9887261546599664,-3.451581975071908,-3.976365378473331,-5.018955047883536,-5.018955047883536,-3.308317078277735,175821,181482,4120.11506023166,4100.407825868726,6262,42.87890557880056,44.25949995877559,10180,"Abilene, TX",Abilene,TX,0.27246296,0.30905688,0.32867125,0.3575404,TX,136092.33333333334
"Akron, OH",-0.3558439201050154,-0.21639546974678922,-0.45714045375357226,-0.45714045375357226,-0.19723603907531492,-1.5739037461565537,-0.5423938397549392,-2.1378527171422688,-2.1378527171422688,-0.6599991588137503,900018,903486,1281.2687613899614,1255.736540926641,35583,716.725181331311,719.4869071288583,10420,"Akron, OH",Akron,OH,0.31823412,0.39422074,0.36687246,0.44169754,OH,150565
"Albany, GA",-0.6782982661476904,-2.161957140147923,-0.7928359508968671,-0.7928359508968671,-0.7207599553607883,-1.6560058793108141,-1.1378721790252229,-2.1026157489316533,-2.1026157489316533,-1.5983015324314762,189181,183695,3117.818735907336,3079.036891891892,5273,61.44161523305396,59.65988926073891,10500,"Albany, GA",Albany,GA,0.27158603,0.31853243999999997,0.31485352,0.36687845,GA,111977.2
"Albany, NY",-1.1797708037806218,-1.9868989698567585,-1.3565717260908603,-1.3565717260908603,-1.0552376702103357,-3.3540003081451255,-3.2073061346524967,-4.302130982929823,-4.302130982929823,-1.9196378763487991,932389,941115,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,203364.75
"Albany, OR",-0.47045324153757884,2.04778156996587,-0.5839958473349178,-0.5839958473349178,-0.6141573095101495,-1.0070212824085458,1.3807012100527458,-1.3741496598639455,-1.3741496598639455,-0.6321886184192552,168645,183015,2363.3616451737453,2345.6535996138996,6446,71.8968052349074,78.02302950023171,10540,"Albany, OR",Albany,OR,0.22239512,0.24164519,0.27380314,0.29124367,OR,274574.5
"Albuquerque, NM",-0.9998147892905138,-2.3300678221552373,-1.4189186278901484,-1.4189186278901484,-1.0367492505427103,-1.0098290892801765,-1.1635267520723436,-1.4814164742772475,-1.4814164742772475,-0.962018882877916,902666,928672,11753.961532818532,11738.836901930503,33175,76.89569312029138,79.11107444105266,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,208548.91666666666
"Alexandria, LA",-1.7289673429484713,-2.7293142166177233,-2.195041576501862,-2.195041576501862,-1.6328525764249702,-1.759174840998715,2.1419934358265675,-2.3848545097048452,-2.3848545097048452,-1.6987598448982282,183492,182074,3301.73151003861,3210.5124343629345,5789,57.1534930175128,56.71181897668904,10780,"Alexandria, LA",Alexandria,LA,0.25201264,0.28886458,0.30110911,0.33358815000000003,LA,157264.33333333334
"Allentown, PA",-0.258703336791233,-2.042974838566021,-0.25860500789089425,-0.25860500789089425,-0.3164224012900752,-1.592043225384589,-1.8759741705633488,-1.9691542239637365,-1.9691542239637365,-1.1168196500474437,1003571,1016995,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,211932.75
"Altoona, PA",-0.9860935524652339,0.3297769156159069,-1.1191620010836192,-1.1191620010836192,-0.815604117753296,-2.5667328878454034,-0.4655674102812803,-3.475167057973632,-3.475167057973632,-1.9216182048040455,143137,138425,727.0263648648648,725.4472216216217,5155,197.3086335351041,190.81332986646908,11020,"Altoona, PA",Altoona,PA,0.22866811,0.27055547,0.28467274,0.32292062,PA,117374.33333333333
"Amarillo, TX",-1.7525047626417278,-0.7549019607843137,-2.658604260399509,-2.658604260399509,-1.70976074404071,-3.230121267728635,-1.8725490196078431,-4.655376350029295,-4.655376350029295,-3.161214961880442,259360,271383,4416.158123938224,4382.724571428572,10200,59.177800423689476,61.921071145828655,11100,"Amarillo, TX",Amarillo,TX,0.27327612,0.32389587,0.32019514,0.36323431,TX,145053.33333333334
"Ames, IA",-6.153198730205198,-5.186206896551724,-6.317137655636773,-6.317137655636773,-5.207256493060956,-9.603966736499283,-8,-10.312508576603939,-10.312508576603939,-7.983789075007547,99628,109309,901.3906247104247,895.118032046332,3625,111.30152274135304,122.11685619840365,11180,"Ames, IA",Ames,IA,0.30733138,0.40163776,0.36483634,0.45461854,IA,204880.33333333334
"Anchorage, AK",-1.7776800175968326,-0.9692372524230931,-2.541467535843548,-2.541467535843548,-1.4682357175708374,-3.1341858465476213,-1.5223345975558364,-4.141379551680697,-4.141379551680697,-2.2975864344418,382192,400072,16546.50408030888,16210.489195752896,18984,23.57683320871854,24.679822747410842,11260,"Anchorage, AK",Anchorage,AK,0.31688967,0.39055315,0.37114996,0.44523495,AK,342174.125
"Ann Arbor, MI",-3.239359713864804,-2.9830957905203843,-3.6901289220823954,-3.6901289220823954,-2.684899478888001,-4.717309566912686,-4.626166011648278,-5.675558308108386,-5.675558308108386,-3.5129251900116536,518465,545756,1092.2275621621623,1062.044932046332,21119,488.1761443002506,513.8727972162587,11460,"Ann Arbor, MI",Ann Arbor,MI,0.39217666,0.47228894,0.4488267,0.4869498,MI,309069.5
"Anniston, AL",-0.3985038124010934,0.5902870941776227,-0.7098259243274349,-0.7098259243274349,-0.3762048626096965,-1.907639188605956,-0.348806010195868,-2.6007768666378936,-2.6007768666378936,-1.831391166738599,142430,139020,904.7189733590734,891.5877745173746,3727,159.74871355442127,155.9240760958762,11500,"Anniston-Oxford-Jacksonville, AL",Anniston-Oxford-Jacksonville,AL,0.20440839,0.24566156,0.24739432,0.283943,AL,103397.75
"Appleton, WI",-1.1443976656655652,-5.185767880914922,-1.362370583560839,-1.362370583560839,-0.7664231083625733,-3.0477044876509334,-5.082899673242164,-3.9904322343988725,-3.9904322343988725,-1.7266151012220419,417537,439183,1846.101988030888,1822.5607714285713,16526,229.09359542108626,240.97029129830153,11540,"Appleton, WI",Appleton,WI,0.29332155,0.35994455,0.32069758,0.38529652,WI,188870.5
"Asheville, NC",2.420830216985061,3.4980419765037176,2.8989343724310572,2.8989343724310572,1.005662850003162,0.1679012130317508,1.4740176882122586,-0.20235366973177224,-0.20235366973177224,0.21151191771532238,428985,458603,2103.551106949807,2094.9866706563707,22727,204.76741260869056,218.9049727253478,11700,"Asheville, NC",Asheville,NC,0.22882566,0.26964962,0.27794152,0.31634319,NC,275655.75
"Athens, GA",-1.2362420439018698,-2.540202806514391,-1.2969384041800842,-1.2969384041800842,-1.135653618780168,-1.8754763359722058,-3.8717607292840315,-2.207761444079015,-2.207761444079015,-1.7731713848245365,265878,291286,1585.5511046332047,1570.0734583011583,9763,169.34112133051644,185.52380365385935,12020,"Athens-Clarke County, GA",Athens-Clarke County,GA,0.27503628,0.33523348,0.34712631,0.40519637,GA,216236
"Atlanta, GA",0.028454401821081714,-1.1939343670846057,-0.1480194654732458,-0.1480194654732458,-0.15882881016504385,-0.4077632260968465,-2.296742902413533,-0.6432142491657119,-0.6432142491657119,-0.5782067570052325,5430554,6009615,10367.38131158301,10192.647372972973,268859,532.7913152769088,589.6029539818296,12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,GA,0.35666603,0.49576303,0.40385821,0.53915775,GA,241081.58333333334
"Atlantic City, NJ",1.015222809594547,1.5874130785980192,1.4049079245470917,1.4049079245470917,0.18783005114841891,-1.5820324926624565,-2.310880101144904,-2.013543680860422,-2.013543680860422,-1.0948915205382064,372075,361497,865.0731150579151,810.7232498069499,14237,458.9420620274537,445.89445299130125,12100,"Atlantic City-Hammonton, NJ",Atlantic City-Hammonton,NJ,0.23016249,0.30331406,0.31230041,0.36562926,NJ,211125
"Auburn, AL",-1.6720892879205962,-0.44591246903385634,-1.776080062600387,-1.776080062600387,-1.5912647749268976,-2.4226761665499774,1.9322873658133775,-2.8923849923808738,-2.8923849923808738,-2.3135373337177216,174533,194248,728.228113899614,719.6475193050193,6055,242.52567446984418,269.92103048946785,12220,"Auburn-Opelika, AL",Auburn-Opelika,AL,0.22107916,0.28251991,0.28019658,0.33848035,AL,203336.08333333334
"Augusta, GA",0.4340076433914241,1.2472885032537961,0.33621582073055883,0.33621582073055883,0.27864909672548394,-1.0260202215182483,-0.32537960954446854,-1.6118215711761636,-1.6118215711761636,-1.1184881340629063,607613,642385,4687.245382239382,4594.418318532818,18440,132.25025626182753,139.8185701569158,12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County,GA-SC,0.26595157,0.33461559,0.30150679,0.35787222,GA,155098.91666666666
"Austin, TX",0.40094894157929156,-1.0710055607973823,0.2832496932380105,0.2832496932380105,0.6553134115607022,0.9538093593634046,0.2820548852709132,1.1389457306813422,1.1389457306813422,0.8785424580636154,1775659,2177584,5870.20088030888,5793.022355212355,99626,306.5168561627119,375.8977380849717,12420,"Austin-Round Rock, TX",Austin-Round Rock,TX,0.39755037,0.52127868,0.45512399,0.57666129,TX,336723.1666666667
